"color","image","lighting","model","year_3","year_s","year_x","year_y"
"Black/Dark gray","20260303_123014449_iOS.jpg","Medium","Other car","","","",""
"Black/Dark gray","20260303_123020506_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123027375_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123032409_iOS.jpg","Medium","Other car","","","",""
"Blue","20260303_123132084_iOS.jpg","Medium","Other car","","","",""
"Blue","20260303_123136851_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123147284_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123152366_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123157394_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123201330_iOS.jpg","Medium","Other car","","","",""
"Black/Dark gray","20260303_123205854_iOS.jpg","Medium","Other car","","","",""
"Black/Dark gray","20260303_123210047_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123213176_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123217567_iOS.jpg","Medium","Other car","","","",""
"Black/Dark gray","20260303_123231218_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123243741_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123247306_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123250261_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123259361_iOS.jpg","Medium","Other car","","","",""
"Blue","20260303_123303622_iOS.jpg","Medium","Other car","","","",""
"Blue","20260303_123306838_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123313364_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123316788_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123338105_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123344502_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123410649_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123414219_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123420330_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123425479_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123432945_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123436947_iOS.jpg","Medium","Other car","","","",""
"Red","20260303_123544862_iOS.jpg","Medium","Other car","","","",""
"Red","20260303_123548488_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123551043_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123554816_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123616155_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123620023_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123622976_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123627630_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123632432_iOS.jpg","Medium","Other car","","","",""
"Black/Dark gray","20260303_123649964_iOS.jpg","Medium","Other car","","","",""
"Black/Dark gray","20260303_123655161_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123657525_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123701607_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123721876_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123735888_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123744553_iOS.jpg","Medium","Other car","","","",""
"Red","20260303_123757253_iOS.jpg","Medium","Other car","","","",""
"Red","20260303_123803745_iOS.jpg","Medium","Other car","","","",""
"Red","20260303_123818241_iOS.jpg","Medium","Other car","","","",""
"Red","20260303_123822406_iOS.jpg","Medium","Other car","","","",""
"Black/Dark gray","20260303_123825373_iOS.jpg","Medium","Other car","","","",""
"Black/Dark gray","20260303_123828767_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123836134_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123840547_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123843698_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123846964_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123850296_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_123933642_iOS.jpg","Medium","Other car","","","",""
"Orange","20260303_123939416_iOS.jpg","Medium","Other car","","","",""
"Orange","20260303_123942921_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123946466_iOS.jpg","Medium","Other car","","","",""
"White","20260303_123954988_iOS.jpg","Medium","Other car","","","",""
"Light gray/Silver","20260303_175536878_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175541352_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175631987_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175638250_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175648488_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175653865_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_175659797_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_175715598_iOS.jpg","Dark","Other car","","","",""
"White","20260303_175724172_iOS.jpg","Dark","Other car","","","",""
"White","20260303_175736606_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175745218_iOS.jpg","Dark","Other car","","","",""
"White","20260303_175750075_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175756379_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175803370_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175822763_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175830893_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175836644_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175843138_iOS.jpg","Dark","Other car","","","",""
"White","20260303_175910598_iOS.jpg","Dark","Other car","","","",""
"White","20260303_175916276_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_175919787_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_175924731_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175929209_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_175946527_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175950752_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_175956031_iOS.jpg","Dark","Other car","","","",""
"White","20260303_175957966_iOS.jpg","Dark","Other car","","","",""
"White","20260303_180002099_iOS.jpg","Dark","Other car","","","",""
"White","20260303_180004682_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180013070_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180015725_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180018142_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180020527_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180035878_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180040591_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180043690_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180048484_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180050507_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180055422_iOS.jpg","Dark","Other car","","","",""
"White","20260303_180057469_iOS.jpg","Dark","Other car","","","",""
"White","20260303_180103581_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180109743_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180118049_iOS.jpg","Dark","Other car","","","",""
"Blue","20260303_180208515_iOS.jpg","Dark","Other car","","","",""
"White","20260303_180210901_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180317968_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180324083_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180332608_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180337849_iOS.jpg","Dark","Other car","","","",""
"White","20260303_180348611_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180425289_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180438406_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180446151_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180450831_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180459374_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180503337_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_180542473_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_180550940_iOS.jpg","Dark","Other car","","","",""
"White","20260303_180559229_iOS.jpg","Dark","Other car","","","",""
"White","20260303_180604809_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180652733_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180659106_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180717644_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180722637_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180733148_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180735798_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_180743866_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_180748287_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_180802850_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180821326_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180827116_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180839820_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_180845453_iOS.jpg","Dark","Other car","","","",""
"White","20260303_181040014_iOS.jpg","Dark","Other car","","","",""
"White","20260303_181044951_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_181054095_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_181058869_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_181126014_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_181133835_iOS.jpg","Dark","Other car","","","",""
"White","20260303_181209235_iOS.jpg","Dark","Other car","","","",""
"White","20260303_181215372_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_181251315_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_181258405_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_181301254_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_181306848_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_181312132_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_181319285_iOS.jpg","Dark","Other car","","","",""
"Blue","20260303_181426605_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_181444376_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_181453728_iOS.jpg","Dark","Other car","","","",""
"Blue","20260303_181517472_iOS.jpg","Dark","Other car","","","",""
"Blue","20260303_181522215_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_181544713_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_181550886_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_181601232_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_181612537_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182049999_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182054559_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182118989_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182123044_iOS.jpg","Dark","Other car","","","",""
"Blue","20260303_182159744_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182210155_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182214051_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182228646_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182235728_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182238305_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182254876_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182334047_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182336918_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182358701_iOS.jpg","Dark","Other car","","","",""
"Blue","20260303_182400621_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182413669_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182433900_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182437623_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182442089_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182443666_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182446802_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182458655_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182503967_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182508970_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182520304_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182833032_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182840229_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182847639_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_182853775_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182902936_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182906677_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182913635_iOS.jpg","Dark","Other car","","","",""
"White","20260303_182916881_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182919811_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182924825_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_182930184_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_182933625_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182948639_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_182952877_iOS.jpg","Dark","Other car","","","",""
"Blue","20260303_182955165_iOS.jpg","Dark","Other car","","","",""
"Blue","20260303_183000068_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_183025775_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_183029479_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_183035200_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_183047219_iOS.jpg","Dark","Other car","","","",""
"Red","20260303_183057707_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_183111402_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_183159700_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_183204493_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_183218543_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_183225147_iOS.jpg","Dark","Other car","","","",""
"Black/Dark gray","20260303_183229178_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_183322789_iOS.jpg","Dark","Other car","","","",""
"Light gray/Silver","20260303_183328670_iOS.jpg","Dark","Other car","","","",""
"White","20260303_183448509_iOS.jpg","Dark","Other car","","","",""
"White","20260303_183457173_iOS.jpg","Dark","Other car","","","",""
"White","20260303_183522751_iOS.jpg","Dark","Other car","","","",""
"White","20260303_183525144_iOS.jpg","Dark","Other car","","","",""
"White","IMG_1235.jpeg",6.828,"Light","S","","2012–2015","",""
"White","IMG_1236.jpeg",4.308,"Light","S","","2012–2015","",""
"White","IMG_1237.jpeg",4.635,"Light","S","","2012–2015","",""
"Blue","IMG_1347.jpeg",5.697,"Light","Y","","","","2020–2024"
"Blue","IMG_1348.jpeg",11.273,"Light","Y","","","","2020–2024"
"Blue","IMG_1349.jpeg",6.871,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1350.jpeg",9.264,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1351.jpeg",6.188,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1352.jpeg",7.826,"Light","3","2017–2023","","",""
"White","IMG_1353.jpeg",4.056,"Light","Y","","","","2025-nå"
"White","IMG_1354.jpeg",7.285,"Light","Y","","","","2025-nå"
"White","IMG_1355.jpeg",3.791,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1356.jpeg",4.355,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1357.jpeg",5.203,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1358.jpeg",14.773,"Light","Y","","","","2020–2024"
"White","IMG_1359.jpeg",8.394,"Light","Y","","","","2020–2024"
"Light gray/Silver","IMG_1360.jpeg",8.924,"Light","Y","","","","2020–2024"
"Light gray/Silver","IMG_1361.jpeg",14.453,"Light","Y","","","","2020–2024"
"Light gray/Silver","IMG_1362.jpeg",7.661,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1363.jpeg",5.388,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1364.jpeg",6.145,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1365.jpeg",8.814,"Light","Y","","","","2020–2024"
"White","IMG_1366.jpeg",11.862,"Light","3","2017–2023","","",""
"White","IMG_1367.jpeg",6.996,"Light","3","2017–2023","","",""
"White","IMG_1368.jpeg",23.888,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1369.jpeg",13.056,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1370.jpeg",5.345,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1371.jpeg",8.412,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1396.jpeg",5.22,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1397.jpeg",4.571,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1398.jpeg",5.386,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1399.jpeg",4.735,"Light","3","2024–nå","","",""
"Light gray/Silver","IMG_1400.jpeg",10.588000000000001,"Light","3","2024–nå","","",""
"Light gray/Silver","IMG_1401.jpeg",40.649,"Light","3","2024–nå","","",""
"White","IMG_1402.jpeg",9.371,"Light","Y","","","","2020–2024"
"White","IMG_1403.jpeg",8.08,"Light","Y","","","","2020–2024"
"White","IMG_1404.jpeg",5.823,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1405.jpeg",4.394,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1406.jpeg",23.367,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1407.jpeg",7.189,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1408.jpeg",5.516,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1409.jpeg",7.237,"Light","Y","","","","2020–2024"
"Light gray/Silver","IMG_1410.jpeg",8.56,"Light","3","2024–nå","","",""
"Light gray/Silver","IMG_1411.jpeg",5.274,"Light","3","2024–nå","","",""
"Light gray/Silver","IMG_1412.jpeg",10.176,"Light","3","2024–nå","","",""
"Black/Dark gray","IMG_1413.jpeg",7.446,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1414.jpeg",11.123999999999999,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1415.jpeg",13.459,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1416.jpeg",5.69,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1417.jpeg",7.354,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1418.jpeg",5.126,"Light","Y","","","","2020–2024"
"Red","IMG_1419.jpeg",6.808,"Light","3","2024–nå","","",""
"Red","IMG_1420.jpeg",6.087,"Light","3","2024–nå","","",""
"Red","IMG_1421.jpeg",7.632,"Light","3","2024–nå","","",""
"Blue","IMG_1673.jpeg",5.355,"Light","Y","","","","2020–2024"
"Blue","IMG_1674.jpeg",7.122,"Light","Y","","","","2020–2024"
"Blue","IMG_1675.jpeg",8.951,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1676.jpeg",6.377,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1677.jpeg",4.774,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1678.jpeg",5.817,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1679.jpeg",4.706,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1680.jpeg",4.284,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1681.jpeg",5.969,"Light","Y","","","","2025-nå"
"Red","IMG_1682.jpeg",5.779,"Light","3","2024–nå","","",""
"Red","IMG_1683.jpeg",5.954,"Light","3","2024–nå","","",""
"Red","IMG_1684.jpeg",7.576,"Light","3","2024–nå","","",""
"White","IMG_1685.jpeg",7.744,"Light","S","","2012–2015","",""
"White","IMG_1686.jpeg",6.125,"Light","S","","2012–2015","",""
"White","IMG_1687.jpeg",8.51,"Light","S","","2012–2015","",""
"White","IMG_1688.jpeg",7.549,"Light","Y","","","","2020–2024"
"White","IMG_1689.jpeg",4.88,"Light","Y","","","","2020–2024"
"White","IMG_1690.jpeg",21.067,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1691.jpeg",9.481,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1692.jpeg",38.473,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1693.jpeg",40.638,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1694.jpeg",10.661999999999999,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1695.jpeg",10.837,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1696.jpeg",10.009,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1697.jpeg",7.366,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1698.jpeg",4.934,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1699.jpeg",18.586,"Light","Y","","","","2020–2024"
"White","IMG_1700.jpeg",4.991,"Light","Y","","","","2025-nå"
"White","IMG_1701.jpeg",6.911,"Light","Y","","","","2025-nå"
"White","IMG_1702.jpeg",4.961,"Light","Y","","","","2025-nå"
"Blue","IMG_1703.jpeg",6.431,"Light","3","2017–2023","","",""
"Blue","IMG_1704.jpeg",6.626,"Light","3","2017–2023","","",""
"Blue","IMG_1705.jpeg",21.559,"Light","3","2017–2023","","",""
"Blue","IMG_1706.jpeg",6.926,"Light","3","2024–nå","","",""
"Blue","IMG_1707.jpeg",7.48,"Light","3","2024–nå","","",""
"Blue","IMG_1708.jpeg",8.394,"Light","3","2024–nå","","",""
"Light gray/Silver","IMG_1709.jpeg",6.18,"Light","Y","","","","2025-nå"
"Light gray/Silver","IMG_1710.jpeg",8.854,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1711.jpeg",40.526,"Light","Y","","","","2025-nå"
"White","IMG_1712.jpeg",6.547,"Light","3","2017–2023","","",""
"White","IMG_1713.jpeg",7.042,"Light","3","2017–2023","","",""
"White","IMG_1714.jpeg",40.047,"Light","3","2017–2023","","",""
"White","IMG_1715.jpeg",4.392,"Light","Y","","","","2020–2024"
"White","IMG_1716.jpeg",18.19,"Light","Y","","","","2020–2024"
"White","IMG_1717.jpeg",5.21,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1718.jpeg",5.691,"Light","3","2024–nå","","",""
"Black/Dark gray","IMG_1719.jpeg",5.165,"Light","3","2024–nå","","",""
"Black/Dark gray","IMG_1720.jpeg",4.676,"Light","3","2024–nå","","",""
"Blue","IMG_1753.jpeg",6.962,"Light","Y","","","","2020–2024"
"Blue","IMG_1754.jpeg",15.517,"Light","Y","","","","2020–2024"
"Blue","IMG_1755.jpeg",49.073,"Light","Y","","","","2020–2024"
"Blue","IMG_1756.jpeg",9.437,"Light","3","2024–nå","","",""
"Blue","IMG_1757.jpeg",7.47,"Light","3","2024–nå","","",""
"Blue","IMG_1758.jpeg",7.835,"Light","3","2024–nå","","",""
"Black/Dark gray","IMG_1759.jpeg",11.02,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1760.jpeg",12.6,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1761.jpeg",25.504,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1762.jpeg",5.524,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1763.jpeg",5.054,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1764.jpeg",7.071,"Light","3","2017–2023","","",""
"Red","IMG_1765.jpeg",6.948,"Light","3","2017–2023","","",""
"Red","IMG_1766.jpeg",6.46,"Light","3","2017–2023","","",""
"Red","IMG_1767.jpeg",9.133,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1768.jpeg",5.256,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1769.jpeg",4.813,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1770.jpeg",9.555,"Light","Y","","","","2025-nå"
"Green","IMG_1771.jpeg",29.114,"Light","Y","","","","2020–2024"
"Green","IMG_1772.jpeg",12.431,"Light","Y","","","","2020–2024"
"Green","IMG_1773.jpeg",22.804,"Light","Y","","","","2020–2024"
"Red","IMG_1774.jpeg",7.329,"Light","3","2024–nå","","",""
"Red","IMG_1775.jpeg",7.49,"Light","3","2024–nå","","",""
"Red","IMG_1776.jpeg",9.14,"Light","3","2024–nå","","",""
"White","IMG_1777.jpeg",6.443,"Light","3","2024–nå","","",""
"White","IMG_1778.jpeg",13.56,"Light","3","2024–nå","","",""
"White","IMG_1779.jpeg",9.902,"Light","3","2024–nå","","",""
"Black/Dark gray","IMG_1780.jpeg",7.16,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1781.jpeg",11.072,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1782.jpeg",19.096,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1783.jpeg",13.546,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1784.jpeg",9.658,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1785.jpeg",9.912,"Light","Y","","","","2025-nå"
"Black/Dark gray","IMG_1786.jpeg",7.4,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1787.jpeg",7.72,"Light","3","2017–2023","","",""
"Black/Dark gray","IMG_1788.jpeg",17.183,"Light","3","2017–2023","","",""
"White","IMG_1789.jpeg",6.842,"Light","Y","","","","2020–2024"
"White","IMG_1790.jpeg",9.989,"Light","Y","","","","2020–2024"
"White","IMG_1791.jpeg",7.608,"Light","Y","","","","2020–2024"
"White","IMG_1792.jpeg",8.228,"Light","X","","","2016–2020",""
"White","IMG_1793.jpeg",6.129,"Light","X","","","2016–2020",""
"White","IMG_1794.jpeg",11.241,"Light","X","","","2016–2020",""
"White","IMG_1795.jpeg",6.417,"Light","Y","","","","2020–2024"
"White","IMG_1796.jpeg",10.966,"Light","Y","","","","2020–2024"
"White","IMG_1797.jpeg",10.011,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1798.jpeg",8.348,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1799.jpeg",6.897,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1800.jpeg",28.168,"Light","Y","","","","2020–2024"
"Black/Dark gray","IMG_1801.jpeg",5.983,"Light","3","2017–2023","","",""
